Name,Current,Ibit,Resistance,Thrust,Mass,Lorentz,u,T,ne,rho
WaveData5546,754.436450567899,4.835410721956103e-07,0.0207732486889854,0.09138412541514064,2.8372533990820893e-11,0.08892722952759641,4165.43175317211,1.2202130395113,1.19056483038617e+20,3.31373962991421e-06
WaveData5960,1251.1687460000599,1.079858901391853e-06,0.01533898425764637,0.245058506894564,2.3760874393456828e-11,0.244608623231431,19573.666953755,1.45296882617624,6.40102719023467e+19,1.78161864029376e-06
WaveData59100,1311.0714328077302,1.11925270975723e-06,0.01491147198042823,0.268999048715213,2.302925447460014e-11,0.268587145764937,21466.8634975317,1.47794821895902,6.40500447651002e+19,1.7827252638724898e-06
WaveData59104,1227.13974008265,1.0363077093144341e-06,0.0155373933911834,0.23576545622370199,2.398716772626231e-11,0.23525576713959198,17227.7203273444,1.44160845594024,7.44341687777819e+19,2.0717500503308202e-06
WaveData59106,1311.0992362336501,1.144690598853711e-06,0.01490061816615587,0.268909833032686,2.3130579760319988e-11,0.268531482614547,23266.5218632247,1.47823117416648,5.46753096671943e+19,1.5217959902813e-06
WaveData4312,956.423885799006,6.661564704598065e-07,0.01820416975839254,0.144406193175479,2.586963282364714e-11,0.142926510037559,5998.55151675615,1.2078234151815401,1.28330514298086e+20,3.57186713268844e-06
WaveData4320,948.7342850209469,6.445615607515281e-07,0.01830325681044006,0.14225333970411497,2.569566242981441e-11,0.140640314355416,5703.31281112677,1.19007510852764,1.3054072154807e+20,3.6333843683658304e-06
WaveData4636,1120.66023775327,8.407974032905116e-07,0.01646934684189702,0.197127510881409,2.412881410424855e-11,0.196221187330371,9105.063721362329,1.3767788997852901,1.21687385176089e+20,3.38696423607005e-06
WaveData4642,1142.16559633717,9.242083861316614e-07,0.01624899175760045,0.204505452658793,2.464602507428699e-11,0.203816433060208,12322.7002410666,1.39856719581559,9.57196779486412e+19,2.6641982979225497e-06
WaveData4968,743.8425295403259,4.308790091264078e-07,0.02097002320444654,0.08983181722119507,2.6966154063927343e-11,0.08644668059950743,3860.29986699752,1.21650387464607,1.13813462679862e+20,3.16781217860919e-06
WaveData4976,693.0023535539129,4.138731186086779e-07,0.02187505927602619,0.07842610604398717,2.808616400861165e-11,0.07503496917522856,3783.31378078414,1.18714501866171,1.12095804308218e+20,3.1200027584735298e-06
WaveData5956,1273.01645502991,1.045557383466719e-06,0.01520201458838529,0.253674721471125,2.31680340468137e-11,0.253157736908503,17067.2807688528,1.4635085909248102,8.47516861182128e+19,2.3589218803608e-06
WaveData5958,1267.4463104614501,1.0523573797790329e-06,0.01523587225929664,0.251512504607335,2.349035080906566e-11,0.251014434219336,17696.4998961161,1.45929554215476,7.88925668361542e+19,2.19584215459757e-06
WaveData5962,1262.83297925246,1.040388073754295e-06,0.015275201180674582,0.249713538870042,2.315465131160301e-11,0.249187775955252,16806.5925344081,1.4602557525779398,8.51878952426985e+19,2.37106326568571e-06
WaveData5964,857.004417662362,5.558086049495281e-07,0.019599280855719232,0.11683895925016802,2.660192064032117e-11,0.114761768838104,4745.14642303601,1.26723216038936,1.27883667557688e+20,3.5594290313727205e-06
WaveData7422,632.349934518419,3.129900971346826e-07,0.02321854060130498,0.06857978935777201,2.637821206665591e-11,0.06246912186939418,3413.90451653289,1.15151399669733,9.32896102866206e+19,2.59655651580255e-06
WaveData7426,504.12768647806604,2.45231881744119e-07,0.02678761974716106,0.04732344784037084,2.706369709320903e-11,0.03970884263467999,3323.6827721915997,1.06009914715521,8.76114213889262e+19,2.43851763224916e-06
WaveData50262,712.2730543522749,4.150846286091245e-07,0.021523104146843292,0.08278369047247147,2.7412573898807792e-11,0.07925884580834487,3790.5571596303203,1.19926692370438,1.12017781315147e+20,3.11782672937948e-06
WaveData50268,721.083796450153,4.12376796726935e-07,0.02136986372273408,0.08488712663925266,2.711643470210979e-11,0.08123795224271302,3777.12254168187,1.20367109128511,1.11166423504694e+20,3.0941365723636798e-06
WaveData59102,1271.98010022159,1.054430901405612e-06,0.015204054144088631,0.25324986802226995,2.310181411174943e-11,0.252744879830008,17520.3069395551,1.46433656283622,8.19675859468659e+19,2.2814315372106603e-06
WaveData59108,1297.9034752877499,1.095791247828109e-06,0.01501111703238666,0.263668142905403,2.2922983129054842e-11,0.26322269294829,19824.4508105954,1.47481046269001,7.20425081724515e+19,2.0051824463613302e-06
WaveData59140,1252.43498271223,1.070814526217108e-06,0.01533514975354055,0.24549674328329002,2.406058551867106e-11,0.245038466533951,19192.6281087867,1.4521079396808703,6.59265698842423e+19,1.83495565315271e-06
WaveData59142,1312.6428569433901,1.084022010635496e-06,0.01491756037191476,0.26970591710435504,2.270620527389278e-11,0.269236712543538,18841.835584688703,1.48174207064046,8.07840839513979e+19,2.24848927852107e-06
WaveData59144,1286.76860342821,1.074569000977215e-06,0.015096095683136981,0.259196467961835,2.3021748002339198e-11,0.25872654365727,18592.8480913818,1.4699904611323402,7.74819807478445e+19,2.15658116869058e-06
WaveData59146,1258.0973395128399,1.012964053541765e-06,0.01532111968929866,0.24788465323890696,2.335932823221922e-11,0.247319737383693,15457.7489494005,1.45538058570685,9.31518969015644e+19,2.59272782248163e-06
WaveData59148,1232.09758685252,9.872211984923524e-07,0.01551822310447974,0.23776423612778796,2.342721942123523e-11,0.237160662427657,14276.870063618899,1.4445486406463799,9.79092714627503e+19,2.72513958957149e-06
WaveData59158,1306.92356320619,1.064720148440694e-06,0.014963569338189191,0.267386904241176,2.282022328676038e-11,0.266894305852698,17763.41618227,1.47855142408145,8.62926849778866e+19,2.4018123755941603e-06
WaveData59160,1245.1697421291099,1.064034525059074e-06,0.01538901636970019,0.24273309050204103,2.405420838046969e-11,0.242265705915821,18832.9807149005,1.4490738291319298,6.69571006684113e+19,1.86363929855939e-06
WaveData59162,1281.1998644125501,1.025411503358534e-06,0.01515416654804929,0.25697860433700503,2.298830428083062e-11,0.256424143776447,15767.4979399793,1.46742598844093,9.55094353495796e+19,2.6583455827024398e-06
WaveData59164,1064.2016115172999,8.059542467234554e-07,0.016996329042104408,0.17789658587188198,2.5435757248553122e-11,0.17694492783781302,8612.055332922371,1.3320709529664199,1.15207344483263e+20,3.2066029548863703e-06
WaveData65468,606.858635313119,2.9331349901469826e-07,0.02382853110642693,0.06422829611550832,2.6244921989351283e-11,0.057537136963187,3355.3359397953495,1.1369752182610902,9.0139123998531e+19,2.50887317519891e-06
WaveData73100,592.675778520494,2.786335655030723e-07,0.024189868473385532,0.06213541555954547,2.5702591832349178e-11,0.05487922229788937,3280.50022155516,1.13172511921195,8.65448110054748e+19,2.40883149538123e-06
WaveData73102,551.70164252513,2.569307126710135e-07,0.025312105317459508,0.055307346450768784,2.596916482267016e-11,0.04755325533736721,3254.3324349788,1.10303664641992,8.49900494683787e+19,2.36555481960691e-06
WaveData76175,682.445868133926,3.377926443440369e-07,0.02214588310733933,0.07851868076281636,2.5486185859982572e-11,0.07276443698156146,3444.19240808208,1.18561302184858,9.40026779755101e+19,2.6164169781621497e-06
WaveData76179,683.995073464974,3.373476607241545e-07,0.022117706228767433,0.07887006619270003,2.5499551577842738e-11,0.07309573857517823,3442.62438747135,1.185545908944,9.38500812540478e+19,2.61217140944024e-06
